ID,Community,Day,Rep,S0,Nutrient 
M 199,C6,0,1,12,LN
M 200,C6,1,1,12,LN
M 201,C6,2,1,12,LN
M 202,C6,3,1,12,LN
M 203,C6,4,1,12,LN
M 204,C6,5,1,12,LN
M 205,C6,6,1,12,LN
M 206,C6,7,1,12,LN
M 207,C6,8,1,12,LN
M 208,C6,9,1,12,LN
M 209,C6,10,1,12,LN
M 210,C5,0,1,12,LN
M 211,C5,1,1,12,LN
M 212,C5,2,1,12,LN
M 213,C5,3,1,12,LN
M 214,C5,4,1,12,LN
M 215,C5,5,1,12,LN
M 216,C5,6,1,12,LN
M 217,C5,7,1,12,LN
M 218,C5,8,1,12,LN
M 219,C5,9,1,12,LN
M 220,C5,10,1,12,LN
M 221,C4,0,1,12,LN
M 222,C4,1,1,12,LN
M 223,C4,2,1,12,LN
M 224,C4,3,1,12,LN
M 225,C4,4,1,12,LN
M 226,C4,5,1,12,LN
M 227,C4,6,1,12,LN
M 228,C4,7,1,12,LN
M 229,C4,8,1,12,LN
M 230,C4,9,1,12,LN
M 231,C4,10,1,12,LN
M 232,C3,0,1,12,LN
M 233,C3,1,1,12,LN
M 234,C3,2,1,12,LN
M 235,C3,3,1,12,LN
M 236,C3,4,1,12,LN
M 237,C3,5,1,12,LN
M 238,C3,6,1,12,LN
M 239,C3,7,1,12,LN
M 240,C3,8,1,12,LN
M 241,C3,9,1,12,LN
M 242,C3,10,1,12,LN
M 243,C2,0,1,12,LN
M 244,C2,1,1,12,LN
M 245,C2,2,1,12,LN
M 246,C2,3,1,12,LN
M 247,C2,4,1,12,LN
M 248,C2,5,1,12,LN
M 249,C2,6,1,12,LN
M 250,C2,7,1,12,LN
M 251,C2,8,1,12,LN
M 252,C2,9,1,12,LN
M 253,C2,10,1,12,LN
M 254,C1,0,1,12,LN
M 255,C1,1,1,12,LN
M 256,C1,2,1,12,LN
M 257,C1,3,1,12,LN
M 258,C1,4,1,12,LN
M 259,C1,5,1,12,LN
M 260,C1,6,1,12,LN
M 261,C1,7,1,12,LN
M 262,C1,8,1,12,LN
M 263,C1,9,1,12,LN
M 264,C1,10,1,12,LN
M 265,C8,0,1,24,LN
M 266,C8,1,1,24,LN
M 267,C8,2,1,24,LN
M 268,C8,3,1,24,LN
M 269,C8,4,1,24,LN
M 270,C8,5,1,24,LN
M 271,C8,6,1,24,LN
M 272,C8,7,1,24,LN
M 273,C8,8,1,24,LN
M 274,C8,9,1,24,LN
M 275,C8,10,1,24,LN
M 276,C7,0,1,24,LN
M 277,C7,1,1,24,LN
M 278,C7,2,1,24,LN
M 279,C7,3,1,24,LN
M 280,C7,4,1,24,LN
M 281,C7,5,1,24,LN
M 282,C7,6,1,24,LN
M 283,C7,7,1,24,LN
M 284,C7,8,1,24,LN
M 285,C7,9,1,24,LN
M 286,C7,10,1,24,LN
M 287,C6,0,1,24,LN
M 288,C6,1,1,24,LN
M 289,C6,2,1,24,LN
M 290,C6,3,1,24,LN
M 291,C6,4,1,24,LN
M 292,C6,5,1,24,LN
M 293,C6,6,1,24,LN
M 294,C6,7,1,24,LN
M 295,C6,8,1,24,LN
M 296,C6,9,1,24,LN
M 297,C6,10,1,24,LN
M 298,C5,0,1,24,LN
M 299,C5,1,1,24,LN
M 300,C5,2,1,24,LN
M 301,C5,3,1,24,LN
M 302,C5,4,1,24,LN
M 303,C5,5,1,24,LN
M 304,C5,6,1,24,LN
M 305,C5,7,1,24,LN
M 306,C5,8,1,24,LN
M 307,C5,9,1,24,LN
M 308,C5,10,1,24,LN
M 309,C4,0,1,24,LN
